# Digitized from Fig. 2(a), Smith et al., Phys. Rev. Lett. 135, 086702 (2025), arXiv:2501.08327v5.
# Visual-comparison data only; no experimental uncertainties were inferred from the raster image.
# Source Figure2.png SHA256: cc2f9ea660b8c26320557734d337c7513be6073be95143750412e0d6c87646a9.
# Calibration from plotted ticks: x=389.5 -> 0.1 K, x=726.5 -> 1 K; y=699.5 -> 0, 138.0 px per 0.5 J mol_Ce^-1 K^-1.
series,temperature_K,Cmag_J_molCe_K
published_NLC_A,0.921280102,0.398550725
published_NLC_A,0.973039709,0.361413043
published_NLC_A,0.996589531,0.355072464
published_NLC_A,1.03829431,0.324275362
published_NLC_A,1.05618227,0.322463768
published_NLC_A,1.07805508,0.317028986
published_NLC_A,1.14642905,0.293478261
published_NLC_A,1.27015747,0.24365942
published_NLC_A,1.38340568,0.211956522
published_NLC_B,0.1,2.22735507
published_NLC_B,0.102770729,2.19384058
published_NLC_B,0.105618227,2.1548913
published_NLC_B,0.108544622,2.10235507
published_NLC_B,0.111171654,2.09057971
published_NLC_B,0.115035229,2.05253623
published_NLC_B,0.117819349,2.03442029
published_NLC_B,0.121083803,2.01177536
published_NLC_B,0.124438707,1.99275362
published_NLC_B,0.127886566,1.97644928
published_NLC_B,0.132783894,1.94202899
published_NLC_B,0.135071523,1.9384058
published_NLC_B,0.137398565,1.93297101
published_NLC_B,0.143148351,1.90036232
published_NLC_B,0.146612874,1.88496377
published_NLC_B,0.150675119,1.86503623
published_NLC_B,0.154849918,1.84601449
published_NLC_B,0.159140389,1.82699275
published_NLC_B,0.165234561,1.78985507
published_NLC_B,0.168081257,1.7826087
published_NLC_B,0.172738333,1.75996377
published_NLC_B,0.177524444,1.73641304
published_NLC_B,0.182443164,1.71195652
published_NLC_B,0.18749817,1.6875
published_NLC_B,0.192693235,1.66304348
published_NLC_B,0.198257883,1.62318841
published_NLC_B,0.203519179,1.61322464
published_NLC_B,0.209873912,1.57246377
published_NLC_B,0.214953348,1.55434783
published_NLC_B,0.220909122,1.52807971
published_NLC_B,0.227029915,1.50181159
published_NLC_B,0.233054752,1.48913043
published_NLC_B,0.239784971,1.44565217
published_NLC_B,0.246709546,1.40398551
published_NLC_B,0.253256634,1.39130435
published_NLC_B,0.260273689,1.36413043
published_NLC_B,0.267485167,1.33695652
published_NLC_B,0.273958929,1.31884058
published_NLC_B,0.28251309,1.27807971
published_NLC_B,0.29001032,1.26811594
published_NLC_B,0.298385317,1.22735507
published_NLC_B,0.306652765,1.20289855
published_NLC_B,0.315149281,1.17753623
published_NLC_B,0.323881213,1.15398551
published_NLC_B,0.333234343,1.11413043
published_NLC_B,0.342077594,1.10507246
published_NLC_B,0.351956204,1.06702899
published_NLC_B,0.36129629,1.05344203
published_NLC_B,0.37130683,1.0298913
published_NLC_B,0.381594735,1.00634058
published_NLC_B,0.39216769,0.985507246
published_NLC_B,0.405796788,0.948369565
published_NLC_B,0.414200561,0.939311594
published_NLC_B,0.428595373,0.902173913
published_NLC_B,0.437471288,0.892210145
published_NLC_B,0.449592431,0.869565217
published_NLC_B,0.462049418,0.84692029
published_NLC_B,0.474851554,0.826992754
published_NLC_B,0.488008402,0.805253623
published_NLC_B,0.501529792,0.783514493
published_NLC_B,0.511916129,0.776268116
published_NLC_B,0.529706873,0.740036232
published_NLC_B,0.544383614,0.722826087
published_NLC_B,0.559467008,0.701086957
published_NLC_B,0.574968321,0.682971014
published_NLC_B,0.590899133,0.66576087
published_NLC_B,0.611434793,0.632246377
published_NLC_B,0.624097188,0.625
published_NLC_B,0.634849268,0.619565217
published_NLC_B,0.659160384,0.586050725
published_NLC_B,0.67742393,0.569746377
published_NLC_B,0.69619351,0.550724638
published_NLC_B,0.715483144,0.533514493
published_NLC_B,0.735307241,0.516304348
published_NLC_B,0.747975272,0.512681159
published_NLC_B,0.77661847,0.480978261
published_NLC_B,0.795414442,0.471014493
published_NLC_B,0.82587429,0.440217391
published_NLC_B,0.842977579,0.434782609
published_NLC_B,0.866334201,0.419384058
published_NLC_B,0.890337972,0.403985507
published_NLC_B,0.915006823,0.389492754
