temperature_over_Jzz,heat_capacity_per_site,entropy_per_site,delta_log10_temperature,delta_heat_capacity_per_site,delta_entropy_per_site
0.210517794,0.2586358664,0.3779305515,0.002,0.0015,0.002
0.2305532679,0.2575413588,0.4011551424,0.002,0.0015,0.002
0.2506581324,0.2531387321,0.4226327509,0.002,0.0015,0.002
0.2704810796,0.2449606689,0.4418838133,0.002,0.0015,0.002
0.2904725991,0.2345812921,0.4589768385,0.002,0.0015,0.002
0.310386747,0.2251488489,0.4742886264,0.002,0.0015,0.002
0.3309020794,0.2146218981,0.4882987405,0.002,0.0015,0.002
0.3501389279,0.2039227776,0.5005618729,0.002,0.0015,0.002
0.3704941022,0.1943304627,0.5115233314,0.002,0.0015,0.002
0.3910542928,0.1844307017,0.5215941726,0.002,0.0015,0.002
0.4107768937,0.1765723822,0.5303633395,0.002,0.0015,0.002
0.430417393,0.1690215088,0.5386871969,0.002,0.0015,0.002
0.4509969645,0.1603761274,0.5461204365,0.002,0.0015,0.002
0.4702048907,0.1539197616,0.5531083666,0.002,0.0015,0.002
0.4902308786,0.1477954375,0.5592399324,0.002,0.0015,0.002
0.5112080208,0.1411914973,0.565371499,0.002,0.0015,0.002
0.5303235306,0.1363215528,0.5706467014,0.002,0.0015,0.002
0.5502595749,0.1317590544,0.5754765941,0.002,0.0015,0.002
0.5709450596,0.1275162997,0.5802722321,0.002,0.0015,0.002
0.5909297978,0.1226340573,0.5846568154,0.002,0.0015,0.002
0.611614057,0.1177641128,0.58859609,0.002,0.0015,0.002
0.6314426122,0.114148548,0.592090055,0.002,0.0015,0.002
0.6504121459,0.1114676191,0.5956182748,0.002,0.0015,0.002
0.671498537,0.1084915416,0.5991122399,0.002,0.0015,0.002
0.6915384883,0.1045562331,0.6021608953,0.002,0.0015,0.002
0.7105358124,0.101248114,0.6052438056,0.002,0.0015,0.002
0.7317407776,0.09920667285,0.6078814063,0.002,0.0015,0.002
0.7518425029,0.09637816953,0.6104847532,0.002,0.0015,0.002
0.7705686727,0.0932299228,0.6131223539,0.002,0.0015,0.002
0.7915848829,0.0910286093,0.615314646,0.002,0.0015,0.002
0.8113009137,0.08946678386,0.6175069376,0.002,0.0015,0.002
0.8315080165,0.08678585462,0.6196992296,0.002,0.0015,0.002
0.8522184141,0.08427709533,0.6218915213,0.002,0.0015,0.002
0.8712649571,0.08238322794,0.6236385038,0.002,0.0015,0.002
0.8907371739,0.08034178676,0.6258307958,0.002,0.0015,0.002
0.9106445869,0.0789275351,0.6275777784,0.002,0.0015,0.002
0.9309969179,0.07672622191,0.6293247609,0.002,0.0015,0.002
0.951804106,0.07468478043,0.6306264339,0.002,0.0015,0.002
0.9708345806,0.07327052877,0.6324076712,0.002,0.0015,0.002
0.99253212,0.07153653339,0.6337093441,0.002,0.0015,0.002
1.012182351,0.06996241002,0.635011018,0.002,0.0015,0.002
1.032221619,0.06808084055,0.6363469457,0.002,0.0015,0.002
1.052657626,0.06729377871,0.6376486187,0.002,0.0015,0.002
1.071025132,0.06587952705,0.6389502917,0.002,0.0015,0.002
1.092229374,0.06351834185,0.6402862194,0.002,0.0015,0.002
1.111287355,0.06289115203,0.6415878933,0.002,0.0015,0.002
1.133288712,0.06163677238,0.6424785115,0.002,0.0015,0.002
1.153063126,0.06022252103,0.6437801845,0.002,0.0015,0.002
1.172957109,0.05927558718,0.6446708036,0.002,0.0015,0.002
1.193423684,0.05816878162,0.645527167,0.002,0.0015,0.002
1.210984431,0.05675453027,0.6464177861,0.002,0.0015,0.002
1.232114533,0.0550328325,0.647719459,0.002,0.0015,0.002
1.253372403,0.05424577098,0.6486100773,0.002,0.0015,0.002
1.272059742,0.05392602695,0.649021132,0.002,0.0015,0.002
1.291025697,0.05235190359,0.6499117511,0.002,0.0015,0.002
1.31329997,0.05063020613,0.6508023693,0.002,0.0015,0.002
1.332880808,0.0501505904,0.6516587336,0.002,0.0015,0.002
1.352753582,0.04968327228,0.6525493518,0.002,0.0015,0.002
1.372658804,0.04889621075,0.6529946614,0.002,0.0015,0.002
1.393124655,0.0476418311,0.6538510248,0.002,0.0015,0.002
1.41389565,0.04653502524,0.6542963343,0.002,0.0015,0.002
1.431395324,0.0455880917,0.6551526987,0.002,0.0015,0.002
1.452457727,0.04481332778,0.6555980073,0.002,0.0015,0.002
1.474113351,0.04449358406,0.6564886264,0.002,0.0015,0.002
1.492358341,0.04323920442,0.6569339351,0.002,0.0015,0.002
1.514608868,0.04229227056,0.6573449898,0.002,0.0015,0.002
